Fish ID	Fish Weight (g)	Fish Catch Date
1	108	2025-07-02
2	136	2026-01-13
3	133	2026-02-26
4	105	2025-09-22
5	128	2026-08-12
6	129	2025-12-05
7	111	2025-06-20
8	128	2026-08-26
9	125	2026-05-01
10	131	2025-12-25
11	114	2026-03-15
12	142	2025-06-21
13	149	2026-07-04
14	115	2025-12-16
15	144	2026-01-18
16	142	2025-07-20
17	128	2026-04-16
18	129	2025-07-05
19	134	2025-12-25
20	154	2026-08-21
21	144	2025-06-17
22	120	2025-11-09
23	154	2026-04-16
24	157	2025-12-31
25	140	2026-07-05
