Wavenumber (cm-1),Average Transmittance (a.u.)
461,0.81325
466,0.818925
471,0.8235
476,0.825575
481,0.826575
486,0.8264
491,0.8256
496,0.82455
501,0.8231
506,0.821025
511,0.817525
516,0.812075
521,0.80365
526,0.7938
531,0.7831
536,0.7709
541,0.748675
546,0.72305
551,0.684625
556,0.672
561,0.722825
566,0.844975
571,0.856825
576,0.8635
581,0.86815
586,0.87145
591,0.872325
596,0.873
601,0.87395
606,0.8732
611,0.86955
616,0.87445
621,0.879425
626,0.8785
631,0.8775
636,0.8746
641,0.871
646,0.8638
651,0.848425
656,0.835425
661,0.718425
666,0.44
671,0.728425
676,0.8288
681,0.673675
686,0.658675
691,0.8078
696,0.792675
701,0.5119
706,0.15
711,0.1408
716,0.603125
721,0.801625
726,0.829975
731,0.842525
736,0.848675
741,0.854025
746,0.858675
751,0.8621
756,0.864225
761,0.864275
766,0.86345
771,0.8622
776,0.858175
781,0.851575
786,0.842125
791,0.8297
796,0.805325
801,0.73195
806,0.7141
811,0.724275
816,0.8096
821,0.833125
826,0.840625
831,0.8425
836,0.845025
841,0.846325
846,0.8435
851,0.837075
856,0.84295
861,0.8455
866,0.842675
871,0.83835
876,0.831025
881,0.821275
886,0.810675
891,0.796975
896,0.7784
901,0.74685
906,0.71125
911,0.660375
916,0.6213
921,0.561775
926,0.515925
931,0.441475
936,0.428875
941,0.507825
946,0.540475
951,0.579225
956,0.723925
961,0.764275
966,0.7908
971,0.80625
976,0.817975
981,0.8276
986,0.8342
991,0.8229
996,0.816825
1001,0.8368
1006,0.8409
1011,0.83825
1016,0.8312
1021,0.7892
1026,0.6298
1031,0.830275
1036,0.832075
1041,0.8297
1046,0.8272
1051,0.82645
1056,0.824375
1061,0.80895
1066,0.773275
1071,0.676225
1076,0.77425
1081,0.84735
1086,0.85045
1091,0.8463
1096,0.812975
1101,0.8298
1106,0.849075
1111,0.846175
1116,0.830225
1121,0.789275
1126,0.671075
1131,0.7561
1136,0.832375
1141,0.839275
1146,0.84045
1151,0.83975
1156,0.8382
1161,0.828075
1166,0.8093
1171,0.73705
1176,0.635975
1181,0.66585
1186,0.63945
1191,0.826575
1196,0.841225
1201,0.838925
1206,0.830275
1211,0.828425
1216,0.839025
1221,0.8427
1226,0.83895
1231,0.831275
1236,0.81655
1241,0.794525
1246,0.75865
1251,0.7271
1256,0.7123
1261,0.69005
1266,0.643425
1271,0.55755
1276,0.4708
1281,0.39295
1286,0.266125
1291,0.160975
1296,0.1695
1301,0.28635
1306,0.474075
1311,0.591525
1316,0.557075
1321,0.4002
1326,0.20195
1331,0.384825
1336,0.629325
1341,0.68855
1346,0.727475
1351,0.759225
1356,0.78895
1361,0.8104
1366,0.8193
1371,0.8184
1376,0.812
1381,0.8052
1386,0.800425
1391,0.78335
1396,0.758
1401,0.724725
1406,0.693425
1411,0.6037
1416,0.4847
1421,0.379025
1426,0.3801
1431,0.6147
1436,0.7457
1441,0.81055
1446,0.765325
1451,0.465375
1456,0.509275
1461,0.791175
1466,0.84785
1471,0.8796
1476,0.887075
1481,0.8878
1486,0.8823
1491,0.866125
1496,0.797925
1501,0.8652
1506,0.87715
1511,0.87575
1516,0.8685
1521,0.8546
1526,0.85115
1531,0.85085
1536,0.8499
1541,0.846425
1546,0.835625
1551,0.825975
1556,0.82465
1561,0.818
1566,0.803275
1571,0.781025
1576,0.749625
1581,0.633725
1586,0.6955
1591,0.81535
1596,0.73235
1601,0.64125
1606,0.7078
1611,0.805625
1616,0.79705
1621,0.80775
1626,0.828025
1631,0.825225
1636,0.813575
1641,0.795875
1646,0.767975
1651,0.731175
1656,0.69595
1661,0.655
1666,0.5498
1671,0.4278
1676,0.274375
1681,0.145825
1686,0.07685
1691,0.0827
1696,0.1175
1701,0.155375
1706,0.298525
1711,0.4576
1716,0.580325
1721,0.709275
1726,0.786125
1731,0.831375
1736,0.846
1741,0.83895
1746,0.8329
1751,0.841575
1756,0.849475
1761,0.8491
1766,0.8447
1771,0.83795
1776,0.831475
1781,0.822725
1786,0.816125
1791,0.8193
1796,0.8277
1801,0.8357
1806,0.840425
1811,0.842325
1816,0.84035
1821,0.838575
1826,0.842525
1831,0.84965
1836,0.852875
1841,0.8546
1846,0.8565
1851,0.8567
1856,0.85535
1861,0.8536
1866,0.851975
1871,0.851325
1876,0.850475
1881,0.849575
1886,0.848575
1891,0.84745
1896,0.845475
1901,0.842325
1906,0.8356
1911,0.826125
1916,0.82755
1921,0.8348
1926,0.839925
1931,0.84085
1936,0.847275
1941,0.855375
1946,0.85715
1951,0.858025
1956,0.860025
1961,0.859525
1966,0.855
1971,0.8521
1976,0.856325
1981,0.8556
1986,0.85265
1991,0.850125
1996,0.849425
2001,0.85895
2006,0.863375
2011,0.8649
2016,0.865175
2021,0.86495
2026,0.8647
2031,0.86455
2036,0.8643
2041,0.863875
2046,0.86305
2051,0.8622
2056,0.86085
2061,0.85935
2066,0.856775
2071,0.8535
2076,0.849025
2081,0.8444
2086,0.838525
2091,0.833075
2096,0.8369
2101,0.842675
2106,0.843775
2111,0.84465
2116,0.844875
2121,0.84465
2126,0.84435
2131,0.844025
2136,0.8437
2141,0.842925
2146,0.841275
2151,0.83935
2156,0.837175
2161,0.83485
2166,0.83215
2171,0.82965
2176,0.8271
2181,0.825325
2186,0.8243
2191,0.8235
2196,0.82275
2201,0.82245
2206,0.821425
2211,0.819725
2216,0.817375
2221,0.81455
2226,0.81125
2231,0.808025
2236,0.804875
2241,0.80175
2246,0.798775
2251,0.7958
2256,0.792775
2261,0.79005
2266,0.788075
2271,0.786575
2276,0.78525
2281,0.78295
2286,0.780325
2291,0.77725
2296,0.775125
2301,0.774775
2306,0.772825
2311,0.769575
2316,0.767575
2321,0.765725
2326,0.7646
2331,0.76345
2336,0.76145
2341,0.75925
2346,0.756875
2351,0.7548
2356,0.754
2361,0.7538
2366,0.753275
2371,0.750825
2376,0.748
2381,0.745275
2386,0.7422
2391,0.738725
2396,0.734975
2401,0.73105
2406,0.72715
2411,0.72325
2416,0.71955
2421,0.7158
2426,0.712175
2431,0.708725
2436,0.705275
2441,0.701825
2446,0.698575
2451,0.6946
2456,0.690725
2461,0.686875
2466,0.6823
2471,0.677
2476,0.6714
